name
A certain man
Abelar Hightower
Abelon
Addam Frey
Addam Hightower
Addam Marbrand
Addam of Duskendale
Addam Osgrey
Addam Rivers
Addam Velaryon
Addam Whitehead
Addison Hill
Adrack Humble
Adrian Redfort
Adrian Tarbeck
Adrian Thorne
Aegon Ambrose
Aegon Blackfyre
Aegon Frey
Aegon Frey
Aegon I Targaryen
Aegon II Targaryen
Aegon III Targaryen
Aegon IV Targaryen
Aegon V Targaryen
Aegon Targaryen
Aegon Targaryen
Aegon Targaryen
Aegon Targaryen
Aegon Targaryen
Aegor Rivers
Aelinor Penrose
Aelor Targaryen
Aelora Targaryen
Aelyx Targaryen
Aemma Arryn
Aemon Blackfyre
Aemon Costayne
Aemon Estermont
Aemon Rivers
Aemon Steelsong
Aemon Targaryen
Aemon Targaryen
Aemon Targaryen
Aemond Targaryen
Aenys Blackfyre
Aenys Frey
Aenys I Targaryen
Aerea Targaryen
Aerion Targaryen
Aerion Targaryen
Aeron Greyjoy
Aerys Targaryen
Aerys I Targaryen
Aerys II Targaryen
Aerys II Targaryen's last mistress
Aethan
Aethan Velaryon
Aethelmure
Aggar
Aggo
Aglantine
Agnes Blackwood
Agramore Cobb
Agrivane
Aladale Wynch
Aladore Florent
Alan Beesbury
Alan of Rosby
Alan o' the Oak
Alan Tarly
Alannys Harlaw
Alaric of Eysen
Alaric Stark
Alarra Massey
Alarra Stark
Alastor Reyne
Alayaya
Alayne Baelish
Alayne Royce
Albar Royce
Albett
Albin Manwoody
Albin Massey
Alchemist
Alebelly
Alec Hunter
Alekyne Florent.
Alequo Adarys
Alerie Hightower
Alesander Frey
Alesander Staedmon
Alesandor Torrent
Alester II Arryn
Alester Florent
Alester Norcross.
Alester Oakheart.
Alester Wynch
Alf of Runnymudd
Alfador
Alford
Alfred Broome
Alfyn
Alfyn
Alia of Braavos
Aliandra Martell
Alicent Hightower
All-for-Joffrey
Alios Qhaedar
Alla Tyrell
Allaquo
Allar
Allar Deem
Allard Royce
Allard Seaworth
Alleras
Alliser Thorne
Allyria Dayne
Alton Butterwell
Alton Greyjoy
Alton Celtigar
Alvyn Sharp
Alyce
Alyce Graceford
Alyn
Red Alyn of the Rosewood
Sour Alyn
Alyn Ambrose
Alyn Ashford
Alyn Blackwood
Alyn Bullock
Alyn Cockshaw
Alyn Connington
Alyn Estermont
Alyn Frey
Alyn Garner
Alyn Haigh
Alyn Hunt
Alyn Marbrand
Alyn Orkwood
Alyn Stackspear
Alyn Stokeworth
Alyn Tarbeck
Alyn Terrick
Alyn Velaryon
Alynne Connington
Alys Arryn
Alys Arryn
Alys Beesbury
Alys Frey
Alys Harroway
Alys Karstark
Alys Karstark
Alys Oakheart
Alys Rivers
Alys Stackspear
Alys Stark
Alys Stone
Alys Turnberry
Alysane Mormont
Alysanne
Alysanne Blackwood
Alysanne Bracken
Alysanne Bulwer
Alysanne Farman
Alysanne Hightower
Alysanne Lefford
Alysanne Tarth
Alysanne Osgrey
Alysanne Stark
Alysanne Targaryen
Alyse Ladybright
Alyssa Arryn
Alyssa Blackwood
Alyssa Royce
Alyssa Targaryen
Alyssa Velaryon
Alyx Frey
Amabel
Amanda Arryn
Amarei Crakehall
Amarys
Amaury Peake
Ambrode
Ambrose Butterwell
Amerei Frey
Amethyst Empress
Amory Lorch
Amos Bracken
Andahar
Andar Royce
Anders Yronwood
Andrew Estermont
Andrew Tollett
Andrey Charlton
Andrey Dalt
Andrik
Andros Brax
Androw Ashford
Androw Farman
Androw Frey
Anguy
Annara Farring
Anselm
Anson
Antario Jast
Anya Waynwood
Anya Weatherwax
Archibald Yronwood
Archon's daughter (Jaehaerys I)
Ardrian Celtigar
Aregelle Stark
Areo Hotah
Argella Durrandon
Argilac
Argos Sevenstar
Argoth Stone-Skin
Argrave the Defiant
Arianne Martell
Arianne Tarth
Arlan of Pennytree
Arlan I Durrandon
Arlan III Durrandon
Arlan V Durrandon
Armen
Armen Peake
Armistead Vance
Armond Caswell
Armond Connington
Arnel
Arneld
Arnell
Arnold Arryn
Arnolf Karstark
Aron Santagar
Arra Norrey
Arrec Durrandon
Arrana Stark
Arron
Arron Qorgyle
Arryk
Arryk Cargyll
Arsa Stark
Arson
Arstan Selmy
Arthor Celtigar
Arthor Karstark
Arthor Oakheart
Arthur Ambrose
Arthur Dayne
Arthur Goodbrother
Artos Flint
Artos Stark
Artos the Strong
Artys I Arryn
Arwen Upcliff
Arwood Frey
Arwyn Frey
Arwyn Oakheart
Arya Flint
Arya Stark
Arys Oakheart
Asha Greyjoy
Ashara Dayne
Lord Ashford
Assadora of Ibben
Aubrey Ambrose
Aubrey Crakehall
Aurane Waters
Aurion
Axel Tully
Axell Florent
Ayrmidon
Azor Ahai
Azzak zo Ghazeen
Bael the Bard
Baelish (hedge knight)
Baelish (lord)
Baelish (sellsword)
Baela Targaryen
Baelon Targaryen
Baelon Targaryen
Baelor Blacktyde
Baelor Hightower
Baelor I Targaryen
Baelor Targaryen
Black Balaq
Balder
Baldric I Durrandon
Baldrick
Balerion Otherys
Ballabar
Balman Byrch
Balon Blackskin
Balon Botley
Balon Greyjoy
Balon V Greyjoy
Balon Swann
Balon Tawney
Bambarro Bazanne
Bandy
Bannen
Barba Bolton
Barba Bracken
Barbara Bracken
Barbrey Dustin
Barneby
Barquen Peake
Barra
Barre
Barris Hightower
Barristan Selmy
Barron Durrandon
Barsena Blackhair
Barth
Barth
Barthogan Stark
Bartimos Celtigar
Bartimus
Bass
Bastard of Blackhaven
Bastard of Harrenhal
Bastard's bastard
Bathi Ma Lo
Bayard Norcross
Bean
Beans
Beastmaster
Beatrice Butterwell
Bearded Ben
Beardless Dick
Becca
Becca the Baker
Beck
Bedwyck
Belandra
Belaquo Bonebreaker
Beldecar
Beldon
Lord Belgrave
Belicho
Belicho Staegone
Belis
Bella
Bellegere Otherys
Bellegere Otherys
Bellena Hawick
Bello
Bellenora Otherys
Bellonara Otherys
Belthasar Bolton
Belwas
Ben
Ben
Ben Beesbury
Ben Blackthumb
Ben Bones
Ben Bushy
Ben Buttercakes
Ben Coldwater
Ben Plumm
Bendamure
Benedar Belmore
Benedict
Benedict Blackmont
Benedict Broom
Benedict I Justman
Benedict II Justman
Benedict Royce
Benerro
Benethon Scales
Benfred Tallhart
Benfrey Frey
Benifer
Benjamin Avery
Benjen Stark
Benjen the Bitter
Benjen the Sweet
Benjen Stark
Benjen Stark
Benjen Stark
Benjicot
Benjicot Branch
Benjicot Blackwood
Bennard Brune
Bennard Stark
Bennarion Botley
Bennet
Bennifer Blackwood
Bennis of the Brown Shield
Benton Glover
Beony Beesbury
Beqqo
Beren Tallhart
Berena Hornwood
Berena Stark
Beric Dondarrion
Bernard
Black Bernarr
Brown Bernarr
Bernarr Brune
Bernarr II Justman
Beron
Beron Stark
Beron Blacktyde
Bertram Beesbury
Bertrand Tyrell
Bess Bracken
Bessa
Bessa
Bessaro Reyaan
Beth Cassel
Betha Blackwood
Blushing Bethany
Bethany Blackwood
Bethany Bolton
Bethany Bracken
Bethany Fair-Fingers
Bethany Hightower
Bethany Redwyne
Bethany Rosby
Betharios of Braavos
Bhakaz zo Loraq
Bharbo
Big Boil
Muttering Bill
Old Bill Bone
Billy Burley
Biter
Black Fist
Blackshield
Lord Blacktyde
Blane
Blind Lord
Blood (the butcher)
Bloodbeard
Bloodstone Emperor
Bluetooth
Bobono
Bodger
Bokkoko
Bonifer Hasty
Books
Borcas
Boremund Baratheon
Boremund Harlaw
Boros Blount
Borroq
Borros Baratheon
Bors
Bors the Breaker
Borys Baratheon
Bowen Marsh
Boy
Braavosi daggerman
Lord Bracken
Bradamar Frey
Bramm of Blackhull
Branda Stark
Brandon of the Bloody Blade
Brandon Norrey
Brandon Norrey
Brandon Snow
Brandon Stark
Brandon Stark
Brandon Stark
Brandon Stark
Brandon Stark
Brandon Stark
Brandon Stark
Brandon IX Stark
Brandon Stark
Brandon Stark
Brandon Stark
Brandon Stark
Brandon Stark
Brandon Stark
Brandon Stark
Brandon Stark
Brandon Tallhart
Branston Cuy
Braxton Beesbury
Brea
Brella
Brendel Byrne
Brenett
Briar
Brienne Tarth
Briony
Brogg
Bronn
Brude
Brus Buckler
Brusco
Brute
Bryan Frey
Bryan Fossoway
Bryan of Oldtown
Bryce Caron
Bryen
Bryen Caron
Bryen Farring
Bryndemere Tarth
Brynden Blackwood
Brynden Rivers
Brynden Tully
Bryndon Hightower
Bu Gai
Buford Bulwer
Bump
Burning Knight
Burton Crakehall
Burton Humble
Butterbumps
Butterwell (Hand of the King)
Butts
Buu
Byam Flint
Byan Votyris
Byren Flowers
Byron Swann
Byron the Beautiful
Bywin Strong
Cadwyl
Cadwyn
Lord Cafferen
Caggo
Caleotte
Calla Blackfyre
Calon
Calor
Camarron of the Count
Cameron Tarth
Canker Jeyne
Canty
Captain's sister
Carellen Smallwood
Carolei Waynwood
Carrot
Casper Straw
Casper Wylde
Caspor Hill
Cass
Cassana Estermont of House Estermont
Cassander
Cassandra Baratheon
Cassella Vaith
Cassella Staunton
Casso Mogat
Caster
Castos
Lord Caswell
Catelyn Bracken
Catelyn Stark
Catspaw
Cayn
Cedra
Cedric Payne
Cedrik Storm
Celia Tully
Cellador
Cerelle Lannister
Cerelle Lannister
Cerenna Lannister
Cerion Lannister
Cerissa Brax
Cerrick
Cersei Frey
Cersei Lannister
Ceryse Hightower
Cetheres
Chai Duq
Chains
Charioteer
Chatana Qo
Chataya
Chayle
Cheese (the rat-catcher)
Chella
Chett
Cheyk
Chezdhar zo Rhaezn
Chiggen
Childer
Chiswyck
Choq Choq
Chyttering (father of Lucos)
Cissy
Clarence Cargyll
Clarence Charlton
Clarence Crabb
Clarence Crabb
Clarent Crakehall
Clarice Osgrey
Clarisse Dayne
Clayton Suggs
Clegane (father of Gregor and Sandor)
Clegane (founder)
Clegg
Clement
Clement Celtigar
Clement Crabb
Clement Piper
Cleoden I Durrandon
Cleon
Cleon the Second
Cleos Frey
Cletus Yronwood
Cley Cerwyn
Cleyton Caswell
Clifford Conklyn
Clifford Swann
Clubfoot Karl
Clydas
Cohollo
Coldhands
Colemon
Colen of Greenpools
Colin Florent
Collio Quaynis
Colloquo Votar
Colmar Frey
Conn
Conwy
Coratt
Corenna Swann
Corliss Penny
Corlos
Corlys Velaryon
Corlys Velaryon
Corsair king
Cortnay Penrose
Corwin Rogers
Corwyn Corbray
Corwyn Corbray
Corwyn Velaryon
Coryanne Martell
Coryanne Wylde
Cosgrove
Cossomo
Cotter Pyke
Courtenay Greenhill
Crackbones
Craghas Drahar
Craghorn Hoare
Cragorn
Crake the Boarkiller
Craster
Crawn
Cregan Karstark
Cregan Stark
Cregard Stark
Creighton Longbough
Creighton Redfort
Cressen
Crey
Creylen
Crispian Celtigar
Criston Cole
Criston Wylde
Cromm
Lord Commander Crowl
Cuger
Culiper
Cutjack
Cynthea Frey
Cyrelle Tarbeck
Cyrenna Swann
Daario Naharis
Dacey Mormont
Dacks
Daegon Shepherd
Daella Targaryen
Daella Targaryen
Daemion Velaryon
Daemion Targaryen
Daemon I Blackfyre
Daemon II Blackfyre
Daemon III Blackfyre
Daemon Blackfyre
Daemon Sand
Daemon Targaryen
Daemon Velaryon
Daemon Velaryon
Daena
Daena Targaryen
Daenaera Velaryon
Daenerys Targaryen
Daenerys Targaryen
Daenerys Targaryen
Daenora Targaryen
Daeron I Targaryen
Daeron II Targaryen
Daeron Targaryen
Daeron Targaryen
Daeron Targaryen
Daeron Targaryen
Daeron Vaith
Daeron Velaryon
Daeryssa
Dafyn Vance
Dagmer
Dagon Codd
Dagon Ironmaker
Dagon Greyjoy
Dagon Greyjoy
Dagos Manwoody
Dake
Dake
Dalbridge
Dale
Dale Drumm
Dale Seaworth
Dalla
Dalla
Dalton Greyjoy
Damion Lannister
Damon
Damon Darry
Damon Hightower
Damon Lannister
Damon Lannister
Damon Marbrand
Damon Morrigen
Damon Paege
Damon Shett
Damon Teague
Damon Vypren
Dan
Dancy
Danelle Lothston
Dannel
Danny Flint
Danos Slynt
Danwell Frey
Dareon
Darla Deddings
Darlessa Marbrand
Darnold Darry
Darnold Arryn
Daryn Hornwood
Daughter of the captain of the Myraham
Daughter of the Dusk
Daven Lannister
Davos
Davos Baratheon
Davos Darklyn
Davos Dayne
Davos Deddings
Davos Seaworth
Deana Hardyng
Del
Delena Florent
Della Frey
Dellono
Delonne Allyrion
Delp
Demon of Darry
Denestan
Dennet
Dennis Plumm
Dennis the Lame
Dennis Whitfield
Denyo Terys
Denys
Denys Arryn
Denys Darklyn
Denys Drumm
Denys Harte
Denys Mallister
Denys Oakheart
Denys Redwyne
Denys Snow
Denys Strong
Denys Swann
Denys Woodwright
Denyse Hightower
Denzo D'han
Deremond
Deria Martell
Dermot of the Rainwood
Derrick Darry
Derrick Fossoway
Desmera Redwyne
Desmond
Desmond
Desmond Darry
Desmond Grell
Desmond Mallister
Desmond Redwyne
Devan Seaworth
Devyn Sealskinner
Deziel Dalt
Dhako
Dhazzar
Dick
Dick
Dick
Dick Bean
Dick Cole
Dick Crabb
Dick Follard
Dick Straw
Dickon Flowers
Dickon Frey
Dickon Manwoody
Dickon Morrigen
Dickon Tarly
Dirk
Dobber
Dogkiller
Dolf son of Holger
Domeric Bolton
Donal Noye
Donel Greyjoy
Donella Hornwood
Doniphos Paenymion
Donnel Arryn
Donnel Drumm
Donnel Flint
Donnel Haigh
Donnel Hightower
Donnel Hill
Donnel Locke
Donnel of Duskendale
Donnel Swann
